Date,Open,High,Low,Close,Volume
2/1/2023 16:00:00,4070.07,4148.95,4037.2,4119.21,0
2/2/2023 16:00:00,4158.68,4195.44,4141.88,4179.76,0
2/3/2023 16:00:00,4136.69,4182.36,4123.36,4136.48,0
2/6/2023 16:00:00,4119.57,4124.63,4093.38,4111.08,0
2/7/2023 16:00:00,4105.35,4176.54,4088.39,4164,0
2/8/2023 16:00:00,4153.47,4156.85,4111.67,4117.86,0
2/9/2023 16:00:00,4144.25,4156.23,4069.67,4081.5,0
2/10/2023 16:00:00,4068.92,4094.36,4060.79,4090.46,0
2/13/2023 16:00:00,4096.62,4138.9,4092.67,4137.29,0
2/14/2023 16:00:00,4126.7,4159.77,4095.01,4136.13,0
2/15/2023 16:00:00,4119.5,4148.11,4103.98,4147.6,0
2/16/2023 16:00:00,4114.75,4136.54,4089.49,4090.41,0
2/17/2023 16:00:00,4077.39,4081.51,4047.95,4079.09,0
2/21/2023 16:00:00,4052.35,4052.35,3995.19,3997.34,0
2/22/2023 16:00:00,4001.83,4017.37,3976.9,3991.05,0
2/23/2023 16:00:00,4018.6,4028.3,3969.19,4012.32,0
2/24/2023 16:00:00,3973.24,3978.25,3943.08,3970.04,0
2/27/2023 16:00:00,3992.36,4018.05,3973.55,3982.24,0
2/28/2023 16:00:00,3977.19,3997.5,3968.98,3970.15,0
3/1/2023 16:00:00,3963.34,3971.73,3939.05,3951.39,0
3/2/2023 16:00:00,3938.68,3990.84,3928.16,3981.35,0
3/3/2023 16:00:00,3998.02,4048.29,3995.17,4045.64,0
3/6/2023 16:00:00,4055.15,4078.49,4044.61,4048.42,0
3/7/2023 16:00:00,4048.26,4050,3980.31,3986.37,0
3/8/2023 16:00:00,3987.55,4000.41,3969.76,3992.01,0
3/9/2023 16:00:00,3998.66,4017.81,3908.7,3918.32,0
3/10/2023 16:00:00,3912.77,3934.05,3846.32,3861.59,0
3/13/2023 16:00:00,3835.12,3905.05,3808.86,3855.76,0
3/14/2023 16:00:00,3894.01,3937.29,3873.63,3919.29,0
3/15/2023 16:00:00,3876.74,3894.26,3838.24,3891.93,0
3/16/2023 16:00:00,3878.93,3964.46,3864.11,3960.28,0
3/17/2023 16:00:00,3958.69,3958.91,3901.27,3916.64,0
3/20/2023 16:00:00,3917.47,3956.62,3916.89,3951.57,0
3/21/2023 16:00:00,3975.89,4009.08,3971.19,4002.87,0
3/22/2023 16:00:00,4002.04,4039.49,3936.17,3936.97,0
3/23/2023 16:00:00,3959.21,4007.66,3919.05,3948.72,0
3/24/2023 16:00:00,3939.21,3972.74,3909.16,3970.99,0
3/27/2023 16:00:00,3982.93,4003.83,3970.49,3977.53,0
3/28/2023 16:00:00,3974.13,3979.2,3951.53,3971.27,0
3/29/2023 16:00:00,3999.53,4030.59,3999.53,4027.81,0
3/30/2023 16:00:00,4046.74,4057.85,4032.1,4050.83,0
